stream_code,universe_code,domain_code,name,description,path_type,governance_status,version,source_workbook
STR-HUM-EDITORIAL-ASSISTA-DF50D,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,Editorial Assistant,"Support editors with reading, correspondence, proofreading and production tasks",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-EDITORIAL-PROMPT-BEFA5,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,Editorial Prompt Specialist,"Design prompts and workflows for editorial tasks, summaries and content quality",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-EDUCATIONAL-CONTE-CACCC,UNI-HUMANITIES,DOM-HUM-EDUCATION-TEACHIN-F6148,Educational Content Writer - Arts Subjects,Prepare study material and question banks,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-EDUCATIONAL-NOTES-2EC14,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,Educational Notes Publisher,"Create notes, guides and exam-preparation material",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-ENGLISH-LANGUAGE-2CCF9,UNI-HUMANITIES,DOM-HUM-FOREIGN-LANGUAGES-A2E1D,English Language Trainer,Teach English communication and language skills,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-ENGLISH-LITERATUR-3CDBE,UNI-HUMANITIES,DOM-HUM-LANGUAGES-LITERAT-85D79,English Literature Academic / Professor,"Reading, literary criticism, teaching and research",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-ENVIRONMENTAL-HUM-4329C,UNI-HUMANITIES,DOM-HUM-GEOGRAPHY-ENVIRON-49E1C,Environmental Humanities Researcher,"Study society, culture and environmental change",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-EPIGRAPHIST-NUMIS-B093F,UNI-HUMANITIES,DOM-HUM-HISTORY-HERITAGE-8BCC6,Epigraphist / Numismatist,"Study inscriptions, coins and ancient scripts",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-EPIGRAPHY-ASSISTA-C0732,UNI-HUMANITIES,DOM-HUM-INDIC-KNOWLEDGE-C-0CB30,Epigraphy Assistant,"Archaeology, Research",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-ETHICS-AI-POLICY-3AA9F,UNI-HUMANITIES,DOM-HUM-PHILOSOPHY-ETHICS-DCD19,Ethics & AI Policy Analyst,Analyze ethical risks in technology and governance,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-FACT-CHECKER-VERI-2F899,UNI-HUMANITIES,DOM-HUM-JOURNALISM-MEDIA-0A08B,Fact-checker / Verification Specialist,"Verify claims, images and public information",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-FESTIVAL-CURATOR-20E01,UNI-HUMANITIES,DOM-HUM-CULTURAL-MUSEUM-H-15A96,Festival Curator,"Curate themes, artists, films and talks",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-FINE-ARTIST-A5B58,UNI-HUMANITIES,DOM-HUM-PERFORMING-FINE-A-8422E,Fine Artist,Create artworks for exhibitions and commissions,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-FLUTE-ARTIST-ECAB1,UNI-HUMANITIES,DOM-HUM-PERFORMING-ARTS-566E4,Flute Artist,"Concerts, Teaching, Fusion Bands",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-FOLK-CULTURE-RESE-95DCB,UNI-HUMANITIES,DOM-HUM-HUMANITIES-E0AAE,Folk Culture Researcher,"Documentation, Cultural Preservation",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-FOREIGN-LANGUAGE-F731C,UNI-HUMANITIES,DOM-HUM-FOREIGN-LANGUAGES-A2E1D,Foreign Language Expert,"Language teaching, translation and cultural communication",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-FORENSIC-PSYCHOLO-D1B41,UNI-HUMANITIES,DOM-HUM-PSYCHOLOGY-BEHAVI-C524E,Forensic Psychology Assistant / Researcher,Apply psychology to criminal behaviour and correctional research,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-GENDER-STUDIES-RE-E95C7,UNI-HUMANITIES,DOM-HUM-SOCIOLOGY-SOCIAL-ACBF8,Gender Studies Researcher,Research and advocacy on gender and society,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-GEOGRAPHER-GEOGRA-57928,UNI-HUMANITIES,DOM-HUM-GEOGRAPHY-ENVIRON-49E1C,Geographer / Geography Professor,Teach/research physical and human geography,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-GHOST-WRITER-5F02D,UNI-HUMANITIES,DOM-HUM-AI-ERA-HUMANITIES-5D7A4,Ghost Writer,"Publishing, Personal Branding",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-GIS-ANALYST-HUMAN-5533B,UNI-HUMANITIES,DOM-HUM-GEOGRAPHY-ENVIRON-49E1C,GIS Analyst - Humanities Route,Create and interpret spatial data,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-GUITARIST-795AF,UNI-HUMANITIES,DOM-HUM-PERFORMING-ARTS-566E4,Guitarist,"Performance, Studio Sessions, Teaching",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-HANDICRAFT-ENTREP-D4203,UNI-HUMANITIES,DOM-HUM-VISUAL-ARTS-EC5B9,Handicraft Entrepreneur,"Own Brand, Craft Business",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-HERITAGE-WALK-CUL-46349,UNI-HUMANITIES,DOM-HUM-HISTORY-HERITAGE-8BCC6,Heritage Walk / Cultural Tourism Professional,Design and conduct heritage tours,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-HINDI-LANGUAGE-LI-3B2BD,UNI-HUMANITIES,DOM-HUM-LANGUAGES-LITERAT-85D79,Hindi Language & Literature Career,"Hindi teaching, content, translation, publishing",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-HISTORIAN-HISTORY-2E808,UNI-HUMANITIES,DOM-HUM-HISTORY-HERITAGE-8BCC6,Historian / History Professor,Teach and research historical periods and methods,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-HUMAN-CONTENT-REV-2463F,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,Human Content Reviewer,"Review AI-generated or user-generated content for quality, bias and appropriateness",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-HUMANITIES-COURSE-BD7E2,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,Humanities Course Publisher,"Create and publish Humanities course material, workbooks or online modules",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-IKS-RESEARCHER-065BB,UNI-HUMANITIES,DOM-HUM-HUMANITIES-E0AAE,IKS Researcher,"Research, Academia, Policy",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-ILLUSTRATOR-CULTU-CF691,UNI-HUMANITIES,DOM-HUM-PERFORMING-FINE-A-8422E,Illustrator - Cultural/Educational Content,Create illustrations for books and education,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-INDEPENDENT-PUBLI-C0013,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,Independent Publisher,Start and run a small publishing imprint,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-INDEPENDENT-RESEA-809C9,UNI-HUMANITIES,DOM-HUM-CULTURAL-MUSEUM-H-15A96,Independent Researcher / Public Humanities Creator,Create public-facing humanities content,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-INTERNATIONAL-REL-71733,UNI-HUMANITIES,DOM-HUM-POLITICAL-SCIENCE-1E5AB,International Relations Specialist,"Study diplomacy, geopolitics and global institutions",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-INTERPRETER-D578C,UNI-HUMANITIES,DOM-HUM-TRANSLATION-STUDI-E6541,Interpreter,"Diplomacy, Conferences",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-JAPANESE-KOREAN-L-EB0AA,UNI-HUMANITIES,DOM-HUM-FOREIGN-LANGUAGES-A2E1D,Japanese/Korean Language + Culture Specialist,"Language and culture support for media, firms, tourism",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-JOURNAL-EDITOR-6F4E8,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,Journal Editor,"Manage scholarly journal submissions, peer review and publication workflow",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-JOURNALIST-PRINT-ACA27,UNI-HUMANITIES,DOM-HUM-JOURNALISM-MEDIA-0A08B,Journalist - Print/Digital,"Report, verify and write news stories",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-KINDLE-PUBLISHER-2F0E8,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,Kindle Publisher,Publish ebooks independently through digital platforms,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-KIRTANKAR-F39BF,UNI-HUMANITIES,DOM-HUM-PERFORMING-ARTS-566E4,Kirtankar,"Religious Programmes, Social Awareness",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-KNOWLEDGE-CURATOR-8D4EB,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,Knowledge Curator,"Organise knowledge resources, reading pathways and topic databases",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-KNOWLEDGE-MANAGER-7DBAE,UNI-HUMANITIES,DOM-HUM-PUBLISHING-WRITIN-53DF9,Knowledge Manager / Research Curator,Organize and curate knowledge resources,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-LIFE-SKILLS-TRAIN-4E6C6,UNI-HUMANITIES,DOM-HUM-HUMAN-CENTRED-EME-EC587,Life Skills Trainer,"Schools, NGOs, Corporate",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-LINGUIST-LANGUAGE-177E7,UNI-HUMANITIES,DOM-HUM-LANGUAGES-LITERAT-85D79,Linguist / Language Scientist,"Study phonetics, syntax, semantics and language change",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-LITERARY-AGENT-PU-342EA,UNI-HUMANITIES,DOM-HUM-PUBLISHING-WRITIN-53DF9,Literary Agent / Publishing Coordinator,"Coordinate manuscripts, rights and authors",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
