degree_code,universe_code,name,degree_level,duration,eligibility_snapshot,source_url,governance_status,version,source_workbook
DEG-INTD-MA-DEVELOPMENT-C-14403,UNI-INTERDISCIPLINARY,MA Development Communication,,,Any graduate,https://admissions.tiss.ac.in/view/10/admissions/ma-admissions/ma-in-public-policy-and-governance/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-MA-DEVELOPMENT-S-4A1D6,UNI-INTERDISCIPLINARY,MA Development Studies; rural management,,,Any graduate,https://admissions.tiss.ac.in/view/10/admissions/ma-admissions/ma-in-public-policy-and-governance/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-MA-DIGITAL-HUMAN-7560A,UNI-INTERDISCIPLINARY,MA Digital Humanities; archival studies; text analytics,,,BA humanities; data skills preferred,https://swayam.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-MA-HERITAGE-MUSE-A6312,UNI-INTERDISCIPLINARY,MA Heritage/Museology; tourism/design programmes,,,Any graduate; history/design/tourism preferred,https://swayam.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-MA-MSC-COMPUTATI-9D85F,UNI-INTERDISCIPLINARY,MA/MSc Computational Linguistics/NLP,,,BA languages/linguistics/CS,https://indiaai.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-MA-SOCIOLOGY-MED-3FC4A,UNI-INTERDISCIPLINARY,MA Sociology/Media with analytics; data certification,,,Social science graduate,https://swayam.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-MBA-FINANCE-SUST-F493B,UNI-INTERDISCIPLINARY,MBA finance/sustainability; environmental economics,,,Commerce/economics/environment graduate,https://www.ugc.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-MBA-HEALTH-MEDTE-9A87D,UNI-INTERDISCIPLINARY,MBA health/MedTech; public health + product,,,Health/IT/business graduate,https://abdm.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-MBA-HOSPITAL-HEA-DF337,UNI-INTERDISCIPLINARY,MBA Hospital & Health Management + analytics,,,Any bachelor with 50% often required; institute-specific,https://iihmr.edu.in/program/mba-hospital-and-health-management,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-MBA-HR-ANALYTICS-B99FF,UNI-INTERDISCIPLINARY,MBA HR analytics; psychology + analytics,,,Any graduate; HR/psych/stats useful,https://swayam.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-MBA-MSC-SUSTAINA-F2976,UNI-INTERDISCIPLINARY,MBA/MSc sustainability/circular economy,,,Any graduate,https://www.startupindia.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-MDES-HCI-MSC-COG-13C9F,UNI-INTERDISCIPLINARY,MDes HCI; MSc cognitive science; AI/UX programmes,,,Psychology/design/CS/engineering,https://www.ceed.iitb.ac.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-MEDIA-MANAGEMENT-B524F,UNI-INTERDISCIPLINARY,Media management/MBA digital business,,,Any graduate,https://www.startupindia.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-MLIS-MA-DIGITAL-34526,UNI-INTERDISCIPLINARY,MLIS/MA digital knowledge management; AI literacy,,,Any graduate; humanities/library science useful,https://swayam.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-MPH-MSC-EPIDEMIO-D4C1C,UNI-INTERDISCIPLINARY,MPH/MSc Epidemiology/Data,,,Science/health/social science,https://iiphg.edu.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-MPLAN-MA-URBAN-S-86BDC,UNI-INTERDISCIPLINARY,MPlan/MA Urban Studies/MPP,,,Any graduate; geography/architecture helpful,https://www.ugc.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-MPP-LLM-PG-AI-ET-6548E,UNI-INTERDISCIPLINARY,MPP/LLM/PG AI ethics/governance,,,Any graduate; law/policy/CS useful,https://indiaai.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-MSC-MBA-FINANCE-952A5,UNI-INTERDISCIPLINARY,MSc/MBA finance analytics; FRM-supporting degree,,,Quantitative UG helpful,https://swayam.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-MSC-MBA-HEALTH-I-2D6FE,UNI-INTERDISCIPLINARY,MSc/MBA health informatics/MPH,,,Health/science/IT/any grad,https://iihmr.edu.in/program/mba-hospital-and-health-management,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-MSC-MTECH-WATER-E1F61,UNI-INTERDISCIPLINARY,MSc/MTech water/environment/GIS,,,Science/geography/civil background,https://www.ugc.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-MSC-PSYCHOLOGY-N-453DF,UNI-INTERDISCIPLINARY,MSc psychology/neuroscience; MBA marketing,,,Psychology/life sciences/management,https://swayam.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-MSC-SCIENCE-COMM-DD1C9,UNI-INTERDISCIPLINARY,MSc Science Communication; journalism,,,Science UG preferred,https://swayam.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-NIFT-BFTECH-MFM-24F91,UNI-INTERDISCIPLINARY,NIFT BFTech/MFM; retail tech,,,Any stream / PCM for some tech programmes,https://www.nift.ac.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-PUBLIC-POLICY-DA-D9D93,UNI-INTERDISCIPLINARY,Public policy/data science/technology programmes,,,Any graduate with data/policy aptitude,https://www.digitalindia.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-PUBLIC-POLICY-SP-CC4E3,UNI-INTERDISCIPLINARY,Public policy/space science/engineering/law,,,Science/engineering/law/policy background,https://www.startupindia.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-MGT-BBA-09974,UNI-MANAGEMENT,BBA,UG,3 years; 4-year honours possible under NEP structures,10+2 from recognized board; criteria vary by institute,https://www.ugc.gov.in/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-BBA-BSC-IN-HOSPIT-BC34E,UNI-MANAGEMENT,BBA/BSc in Hospitality or BHM,UG,3-4 years,10+2; NCHM route for hotel management institutes,https://exams.nta.ac.in/NCHM/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-BBA-IN-AVIATION-A-09307,UNI-MANAGEMENT,BBA in Aviation/Airport Management,UG,3 years,10+2; criteria vary,https://www.aicte-india.org/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-BBA-IN-BUSINESS-A-F5D04,UNI-MANAGEMENT,BBA in Business Analytics,UG,3 years,10+2; math/statistics helpful,https://www.ugc.gov.in/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-BBA-IN-DIGITAL-MA-4A159,UNI-MANAGEMENT,BBA in Digital Marketing,UG,3 years,10+2,https://www.ugc.gov.in/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-BBA-IN-ENTREPRENE-AFABE,UNI-MANAGEMENT,BBA in Entrepreneurship / Family Business,UG,3 years,10+2,https://www.ugc.gov.in/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-BBA-IN-EVENT-MANA-DEA7D,UNI-MANAGEMENT,BBA in Event Management,UG,3 years,10+2,https://www.ugc.gov.in/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-BBA-IN-FINANCE-FI-B5609,UNI-MANAGEMENT,BBA in Finance / FinTech,UG,3 years,10+2; commerce/math useful,https://www.nism.ac.in/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-BBA-IN-HR-PEOPLE-4A488,UNI-MANAGEMENT,BBA in HR / People Management,UG,3 years,10+2,https://www.ugc.gov.in/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-BBA-IN-LOGISTICS-8F543,UNI-MANAGEMENT,BBA in Logistics & Supply Chain,UG,3 years,10+2,https://www.aicte-india.org/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-BBA-IN-RETAIL-MAN-CF06C,UNI-MANAGEMENT,BBA in Retail Management,UG,3 years,10+2,https://www.nsdcindia.org/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-BBA-IN-SPORTS-MAN-110F2,UNI-MANAGEMENT,BBA in Sports Management,UG,3 years,10+2,https://www.ugc.gov.in/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-BBM-BBS-7AEFC,UNI-MANAGEMENT,BBM/BBS,UG,3 years,10+2; institute-specific,https://www.ugc.gov.in/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-BMS-AE8D9,UNI-MANAGEMENT,BMS,UG,3 years; 4-year honours possible,10+2; often merit/CUET/state routes,https://www.ugc.gov.in/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-EXECUTIVE-MBA-PGD-B0F1B,UNI-MANAGEMENT,Executive MBA/PGDM,PG/Executive,1-2 years,Graduation + work experience; institute criteria vary,https://www.aicte-india.org/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-INTEGRATED-MBA-IP-53A8C,UNI-MANAGEMENT,Integrated MBA / IPM,Integrated UG+PG,5 years,10+2; strong aptitude profile,https://www.iimidr.ac.in/academic-programmes/five-year-integrated-programme-in-management-ipm/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-MBA-AGRIBUSINESS-399C7,UNI-MANAGEMENT,MBA Agribusiness/Rural Management,PG,2 years,Graduation; agri/rural exposure useful,https://www.ugc.gov.in/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-MBA-BUSINESS-ANAL-38C60,UNI-MANAGEMENT,MBA Business Analytics,PG,2 years,Graduation; quantitative comfort helpful,https://www.aicte-india.org/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-MBA-FINANCE-C6E32,UNI-MANAGEMENT,MBA Finance,PG,2 years,Graduation; commerce/math helpful,https://www.nism.ac.in/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-MBA-HEALTHCARE-MH-F598E,UNI-MANAGEMENT,MBA Healthcare / MHA,PG,2 years mostly,Graduation; life science/medical/any UG depending institute,https://www.ugc.gov.in/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-MBA-HR-E434B,UNI-MANAGEMENT,MBA HR,PG,2 years,Graduation,https://www.tiss.edu/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-MBA-IT-SYSTEMS-EF6A0,UNI-MANAGEMENT,MBA IT / Systems,PG,2 years,Graduation,https://www.aicte-india.org/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-MBA-MARKETING-DAE8F,UNI-MANAGEMENT,MBA Marketing,PG,2 years,Graduation,https://www.aicte-india.org/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-MBA-MEDIA-ENTERTA-84AEC,UNI-MANAGEMENT,MBA Media/Entertainment/Event/Sports,PG,1-2 years,Graduation,https://www.ugc.gov.in/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-MBA-OPERATIONS-SC-D516B,UNI-MANAGEMENT,MBA Operations / SCM,PG,2 years,Graduation; engineering helpful but not mandatory,https://www.aicte-india.org/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-MBA-PGDM-GENERAL-FF1DD,UNI-MANAGEMENT,MBA / PGDM General Management,PG,2 years full-time typically,Bachelor's degree; marks and criteria vary,https://iimcat.ac.in/,Validated,0.6.1a,4-Strcutured-Management.xlsx
DEG-MGT-MBA-SUSTAINABILIT-D146C,UNI-MANAGEMENT,MBA Sustainability / ESG,PG,2 years / certifications vary,Graduation,https://www.nism.ac.in/,Validated,0.6.1a,4-Strcutured-Management.xlsx
