stream_code,universe_code,domain_code,name,entity_nature,path_type,source_cluster,source_subcluster,outcome_count,outcomes_raw,education_requirement,minimum_entry_stage,recommended_pathway,core_qualifications,normalization_basis,confidence,notes,governance_status,version,source_document
HUM-STR-HHA-CONSDOCU,UNI-HUMANITIES,HUM-DOM-HHA,Conservation Documentation,Academic/Applied Stream,Humanities,Niche,,1,Conservation Documentation Assistant,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-HHA-HERIINTEANDTOUR,UNI-HUMANITIES,HUM-DOM-HHA,Heritage Interpretation and Tourism,Academic/Applied Stream,Humanities,Practical,,1,Heritage Walk / Cultural Tourism Professional,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-HHA-HERISTUD,UNI-HUMANITIES,HUM-DOM-HHA,Heritage Studies,Academic/Applied Stream,Humanities,Hybrid,,1,Museum Educator,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-HHA-HISTANDHISTRESE,UNI-HUMANITIES,HUM-DOM-HHA,History and Historical Research,Academic/Applied Stream,Humanities,Traditional,,1,Historian / History Professor,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-HHA-MUSEANDMUSESTUD,UNI-HUMANITIES,HUM-DOM-HHA,Museology and Museum Studies,Academic/Applied Stream,Humanities,Niche,,1,Museum Curator,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-HHA-SPECANDPUBLHIST,UNI-HUMANITIES,HUM-DOM-HHA,Specialised and Public History,Academic/Applied Stream,Humanities,Niche,,1,Epigraphist / Numismatist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-GOV-INTERELA,UNI-HUMANITIES,HUM-DOM-GOV,International Relations,Academic/Applied Stream,Humanities,Traditional/New-age,,1,International Relations Specialist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-GOV-NATICIVISERVPATH,UNI-HUMANITIES,HUM-DOM-GOV,National Civil Services Pathway,Competitive/Public-Service Pathway,Humanities,Competitive,,1,Civil Services - IAS/IPS/IFS/IRS via UPSC CSE,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-GOV-POLISCIEANDPOLI,UNI-HUMANITIES,HUM-DOM-GOV,Political Science and Political Analysis,Academic/Applied Stream,Humanities,New-age,,1,Political Analyst,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-GOV-PUBLADMI,UNI-HUMANITIES,HUM-DOM-GOV,Public Administration,Academic/Applied Stream,Humanities,Traditional,,1,Public Administration Academic / Researcher,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-GOV-PUBLPOLI,UNI-HUMANITIES,HUM-DOM-GOV,Public Policy,Academic/Applied Stream,Humanities,New-age,,1,Public Policy Researcher,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-GOV-STATCIVISERVPATH,UNI-HUMANITIES,HUM-DOM-GOV,State Civil Services Pathway,Competitive/Public-Service Pathway,Humanities,Competitive,,1,State Civil Services / MPSC-type Careers,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-SOC-CSRANDSOCIIMPA,UNI-HUMANITIES,HUM-DOM-SOC,CSR and Social Impact,Academic/Applied Stream,Humanities,New-age,,1,CSR Social Impact Associate,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-SOC-COMMENGAPRAC,UNI-HUMANITIES,HUM-DOM-SOC,Community Engagement Practice,Academic/Applied Stream,Humanities,Hybrid,,1,Community Manager,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-SOC-DEVESTUD,UNI-HUMANITIES,HUM-DOM-SOC,Development Studies,Academic/Applied Stream,Humanities,New-age,,1,Development Sector Professional,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-SOC-GENDANDINCLSTUD,UNI-HUMANITIES,HUM-DOM-SOC,Gender and Inclusion Studies,Academic/Applied Stream,Humanities,Niche,,1,Gender Studies Researcher,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-SOC-PUBLENGA,UNI-HUMANITIES,HUM-DOM-SOC,Public Engagement,Academic/Applied Stream,Humanities,Traditional Job,,1,Public Engagement Specialist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-SOC-RURADEVE,UNI-HUMANITIES,HUM-DOM-SOC,Rural Development,Academic/Applied Stream,Humanities,Practical,,1,Rural Development Professional,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-SOC-SOCIWORK,UNI-HUMANITIES,HUM-DOM-SOC,Social Work,Academic/Applied Stream,Humanities,Practical,,1,Social Worker / MSW Professional,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-SOC-SOCI,UNI-HUMANITIES,HUM-DOM-SOC,Sociology,Academic/Applied Stream,Humanities,Traditional,,1,Sociologist / Sociology Professor,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PSY-BEHASCIE,UNI-HUMANITIES,HUM-DOM-PSY,Behavioural Science,Academic/Professional Stream,Humanities,New-age,,1,Behavioural Science Researcher,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PSY-CLINPSYCPATH,UNI-HUMANITIES,HUM-DOM-PSY,Clinical Psychology Pathway,Academic/Professional Stream,Humanities,Professional,,1,Clinical Psychologist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PSY-COUNPSYC,UNI-HUMANITIES,HUM-DOM-PSY,Counselling Psychology,Academic/Professional Stream,Humanities,Professional,,1,Counselling Psychologist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PSY-EDUCPSYC,UNI-HUMANITIES,HUM-DOM-PSY,Educational Psychology,Academic/Professional Stream,Humanities,Practical,,1,School Psychologist / School Counsellor,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PSY-FOREPSYC,UNI-HUMANITIES,HUM-DOM-PSY,Forensic Psychology,Academic/Professional Stream,Humanities,Niche,,1,Forensic Psychology Assistant / Researcher,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PSY-ORGAPSYC,UNI-HUMANITIES,HUM-DOM-PSY,Organisational Psychology,Academic/Professional Stream,Humanities,Open to Arts,,1,Organizational Psychologist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PSY-PSYCANDASSE,UNI-HUMANITIES,HUM-DOM-PSY,Psychometrics and Assessment,Academic/Professional Stream,Humanities,AI-era,,1,Psychometric Test Developer,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PSY-SPORPSYC,UNI-HUMANITIES,HUM-DOM-PSY,Sports Psychology,Academic/Professional Stream,Humanities,Niche,,1,Sports Psychologist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-GEO-DISAANDHUMASTUD,UNI-HUMANITIES,HUM-DOM-GEO,Disaster and Humanitarian Studies,Academic/Applied Stream,Humanities,Practical,,1,Disaster Management Professional - Social Side,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-GEO-ENVIHUMA,UNI-HUMANITIES,HUM-DOM-GEO,Environmental Humanities,Academic/Applied Stream,Humanities,Niche,,1,Environmental Humanities Researcher,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-GEO-GISANDSPATHUMA,UNI-HUMANITIES,HUM-DOM-GEO,GIS and Spatial Humanities,Academic/Applied Stream,Humanities,New-age,,1,GIS Analyst - Humanities Route,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-GEO-GEOG,UNI-HUMANITIES,HUM-DOM-GEO,Geography,Academic/Applied Stream,Humanities,Traditional,,1,Geographer / Geography Professor,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-GEO-URBASTUD,UNI-HUMANITIES,HUM-DOM-GEO,Urban Studies,Academic/Applied Stream,Humanities,New-age,,1,Urban Studies Researcher,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PHI-APPLETHIANDAI,UNI-HUMANITIES,HUM-DOM-PHI,Applied Ethics and AI Governance,Academic/Applied Stream,Humanities,AI-era,,1,Ethics & AI Policy Analyst,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PHI-MEDIANDHEALHUMA,UNI-HUMANITIES,HUM-DOM-PHI,Medical and Health Humanities,Academic/Applied Stream,Humanities,Niche,,1,Bioethics / Medical Humanities Associate,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PHI-PHIL,UNI-HUMANITIES,HUM-DOM-PHI,Philosophy,Academic/Applied Stream,Humanities,Traditional,,1,Philosophy Professor / Researcher,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PHI-RELISTUD,UNI-HUMANITIES,HUM-DOM-PHI,Religious Studies,Academic/Applied Stream,Humanities,Niche,,1,Religious Studies / Comparative Religion Scholar,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-EDU-CAREGUIDANDCOUN,UNI-HUMANITIES,HUM-DOM-EDU,Career Guidance and Counselling,Academic/Applied Stream,Humanities,New-age,,1,Career Counsellor - Humanities Route,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-EDU-CURRANDLEARDESI,UNI-HUMANITIES,HUM-DOM-EDU,Curriculum and Learning Design,Academic/Applied Stream,Humanities,New-age,,1,Curriculum Developer - Humanities,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-EDU-EDUCCONTANDKNOW,UNI-HUMANITIES,HUM-DOM-EDU,Educational Content and Knowledge Design,Academic/Applied Stream,Humanities,Practical,,1,Educational Content Writer - Arts Subjects,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-EDU-HIGHEDUCANDACAD,UNI-HUMANITIES,HUM-DOM-EDU,Higher Education and Academic Careers,Academic/Applied Stream,Humanities,Traditional,,1,College Professor - Humanities,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-EDU-INCLANDSPECEDUC,UNI-HUMANITIES,HUM-DOM-EDU,Inclusive and Special Education,Academic/Applied Stream,Humanities,Professional,,1,Special Educator - Non-medical Route,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-EDU-LIFESKILFACI,UNI-HUMANITIES,HUM-DOM-EDU,Life-Skills Facilitation,Academic/Applied Stream,Humanities,Entrepreneurial,,1,Life Skills Trainer,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-EDU-MENTANDLEARSUPP,UNI-HUMANITIES,HUM-DOM-EDU,Mentoring and Learner Support,Academic/Applied Stream,Humanities,Traditional Job,,1,Student Success Mentor,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-EDU-SCHOTEAC,UNI-HUMANITIES,HUM-DOM-EDU,School Teaching,Academic/Applied Stream,Humanities,Traditional,,1,School Teacher - Arts Subjects,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-MED-ADVEANDCREACOPY,UNI-HUMANITIES,HUM-DOM-MED,Advertising and Creative Copy,Academic/Applied Stream,Humanities,Creative,,1,Advertising Copywriter,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-MED-AUDIPODCANDRADI,UNI-HUMANITIES,HUM-DOM-MED,"Audio, Podcast and Radio",Academic/Applied Stream,Humanities,New-age,,1,Podcast Producer / Audio Storyteller,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-MED-BROAMEDI,UNI-HUMANITIES,HUM-DOM-MED,Broadcast Media,Academic/Applied Stream,Humanities,Practical,,1,Broadcast Journalist / News Anchor,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-MED-CONTINDU,UNI-HUMANITIES,HUM-DOM-MED,Content Industry,Academic/Applied Stream,Humanities,Self-Employment / Entrepreneurial,,1,YouTube Educator,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-MED-CREAWRIT,UNI-HUMANITIES,HUM-DOM-MED,Creative Writing,Academic/Applied Stream,Humanities,Hybrid,,1,Script Writer,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-MED-DIGICULTSTUD,UNI-HUMANITIES,HUM-DOM-MED,Digital Culture Studies,Academic/Applied Stream,Humanities,Self-Employment / Entrepreneurial,,1,Podcast Creator,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-MED-DIGIMEDIANDCONT,UNI-HUMANITIES,HUM-DOM-MED,Digital Media and Content,Academic/Applied Stream,Humanities,New-age,,1,Social Media Content Strategist - Arts Route,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-MED-FILMDOCUANDSCRE,UNI-HUMANITIES,HUM-DOM-MED,"Film, Documentary and Screen Research",Academic/Applied Stream,Humanities,Niche,,1,Documentary Researcher,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-MED-JOUR,UNI-HUMANITIES,HUM-DOM-MED,Journalism,Academic/Applied Stream,Humanities,Traditional/New-age,,1,Journalist - Print/Digital,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-MED-MEDIVERIANDFACT,UNI-HUMANITIES,HUM-DOM-MED,Media Verification and Fact-Checking,Academic/Applied Stream,Humanities,AI-era,,1,Fact-checker / Verification Specialist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-MED-PUBLRELAANDSTRA,UNI-HUMANITIES,HUM-DOM-MED,Public Relations and Strategic Communication,Academic/Applied Stream,Humanities,Open to Arts,,1,Public Relations Content Specialist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PERF-DANCPRAC,UNI-HUMANITIES,HUM-DOM-PERF,Dance Practice,Creative Practice Stream,Humanities,Creative,,1,Dance Performer / Choreographer,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PERF-DEVOANDSACRARTS,UNI-HUMANITIES,HUM-DOM-PERF,Devotional and Sacred Arts,Creative Practice Stream,Humanities,Self-Employment / Entrepreneurial,,1,Kirtankar,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PERF-FOLKPERFARTS,UNI-HUMANITIES,HUM-DOM-PERF,Folk Performing Arts,Creative Practice Stream,Humanities,Niche / Portfolio Career,,1,Powada/Shahiri Artist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PERF-INSTMUSI,UNI-HUMANITIES,HUM-DOM-PERF,Instrumental Music,Creative Practice Stream,Humanities,"Niche / Portfolio Career, Self-Employment / Entrepreneurial",,2,Guitarist; Flute Artist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PERF-MUSIPRAC,UNI-HUMANITIES,HUM-DOM-PERF,Music Practice,Creative Practice Stream,Humanities,Creative/Traditional,,1,Classical Music Performer,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PERF-THEAANDPERF,UNI-HUMANITIES,HUM-DOM-PERF,Theatre and Performance,Creative Practice Stream,Humanities,Creative,,1,Theatre Artist / Actor,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-VIS-ARTEDUC,UNI-HUMANITIES,HUM-DOM-VIS,Art Education,Creative Practice Stream,Humanities,Practical,,1,Art Teacher / Visual Arts Educator,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-VIS-CRAFANDMATEARTS,UNI-HUMANITIES,HUM-DOM-VIS,Craft and Material Arts,Creative Practice Stream,Humanities,Self-Employment / Entrepreneurial,,1,Handicraft Entrepreneur,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-VIS-EXPRANDTHERARTS,UNI-HUMANITIES,HUM-DOM-VIS,Expressive and Therapeutic Arts,Creative Practice Stream,Humanities,Niche,,1,Art Therapist Assistant / Expressive Arts Facilitator,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-VIS-FINEARTSPRAC,UNI-HUMANITIES,HUM-DOM-VIS,Fine Arts Practice,Creative Practice Stream,Humanities,Creative,,1,Fine Artist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-VIS-ILLUANDVISUCOMM,UNI-HUMANITIES,HUM-DOM-VIS,Illustration and Visual Communication,Creative Practice Stream,Humanities,New-age,,1,Illustrator - Cultural/Educational Content,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-VIS-TRADVISUARTS,UNI-HUMANITIES,HUM-DOM-VIS,Traditional Visual Arts,Creative Practice Stream,Humanities,"Niche / Portfolio Career, Self-Employment / Entrepreneurial",,2,Warli Art Specialist; Madhubani Artist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-TRANS-ASIALANGSTUD,UNI-HUMANITIES,HUM-DOM-TRANS,Asian Language Studies,Language Service Stream,Humanities,Niche/New-age,,1,Japanese/Korean Language + Culture Specialist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-TRANS-DIGIMEDIANDCONT,UNI-HUMANITIES,HUM-DOM-TRANS,Digital Media and Content,Language Service Stream,Humanities,Freelance,,1,Subtitling Specialist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-TRANS-FORELANGSTUD,UNI-HUMANITIES,HUM-DOM-TRANS,Foreign Language Studies,Language Service Stream,Humanities,Practical,,1,Foreign Language Expert,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-TRANS-LANGSERV,UNI-HUMANITIES,HUM-DOM-TRANS,Language Services,Language Service Stream,Humanities,"Freelance, Hybrid, Professional Service",,3,Translator; Literary Translator; Interpreter,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-TRANS-LANGTEACANDTRAI,UNI-HUMANITIES,HUM-DOM-TRANS,Language Teaching and Training,Language Service Stream,Humanities,Practical,,1,English Language Trainer,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-TRANS-LANGTECH,UNI-HUMANITIES,HUM-DOM-TRANS,Language Technology,Language Service Stream,Humanities,Hybrid,,1,Localization Specialist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-TRANS-LANGTRUSANDSAFE,UNI-HUMANITIES,HUM-DOM-TRANS,Language Trust and Safety,Language Service Stream,Humanities,New-age,,1,Content Moderator - Language & Culture,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-TRANS-LOCA,UNI-HUMANITIES,HUM-DOM-TRANS,Localization,Language Service Stream,Humanities,AI-era,,1,Localization Quality Analyst,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-AIASSICONTAND,UNI-HUMANITIES,HUM-DOM-PUB,AI-Assisted Content and Editorial Review,Knowledge Industry Stream,Humanities,AI-era,,1,Prompt Writer / AI Content Evaluator - Humanities,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-AIERAPUBLAND,UNI-HUMANITIES,HUM-DOM-PUB,AI-Era Publishing and Editorial QA,Knowledge Industry Stream,Humanities,"Hybrid, Hybrid/Freelance, Hybrid/Research-based",,6,AI-Assisted Editor; Human Content Reviewer; Knowledge Curator; Editorial Prompt Specialist; AI Training Content Reviewer; Multilingual Dataset Editor,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-ACADANDSCHOPUBL,UNI-HUMANITIES,HUM-DOM-PUB,Academic and Scholarly Publishing,Knowledge Industry Stream,Humanities,"Portfolio/Entrepreneurial, Traditional/Hybrid",,3,Academic Editor; Journal Editor; Research Digest Creator,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-AUDIPUBL,UNI-HUMANITIES,HUM-DOM-PUB,Audio Publishing,Knowledge Industry Stream,Humanities,Freelance/Hybrid,,1,Audiobook Script Editor,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PUB-CHILSANDEDUC,UNI-HUMANITIES,HUM-DOM-PUB,Children's and Educational Publishing,Knowledge Industry Stream,Humanities,Hybrid/Entrepreneurial,,1,Children’s Literature Specialist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
