skill_code,name,category,description,governance_status,version,source_workbook
SKL-HUM-EMPATHY-DOCUMENTA-A828A,"Empathy, documentation, fieldwork",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-ENGLISH-LANGUAGE-F3889,English / Language,,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-EPUB-FORMATTING-L-8633B,"EPUB formatting, layout, quality check",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-ETHICAL-REASONING-271D4,"Ethical reasoning, communication",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-ETHICS-POLICY-WRI-612D8,"Ethics, policy, writing, tech awareness",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-FIELDWORK-DOCUMEN-38160,"Fieldwork, documentation, mapping basics",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-FIELDWORK-EDITING-26EE1,"Fieldwork, editing, visual documentation",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-FIELDWORK-EXPOSUR-8FCEF,Fieldwork Exposure,,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-FIELDWORK-LOCAL-L-11598,"Fieldwork, local language, communication",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-FIELDWORK-MAPS-PO-8C70F,"Fieldwork, maps, policy writing",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-FINE-PERFORMING-A-72EDF,Fine/Performing Arts,,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-FORMATTING-EDITIN-635D7,"Formatting, editing, metadata, marketing",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-GEOGRAPHY-ECA56,Geography,,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-GIS-MAPPING-BASIC-5DD81,GIS / Mapping Basics,,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-GIS-TOOLS-SPATIAL-147F0,"GIS tools, spatial data, problem-solving",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-GLOBAL-AWARENESS-14444,"Global awareness, writing, languages",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-GRAMMAR-PEDAGOGY-0D287,"Grammar, pedagogy, speaking skills",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-GRAMMAR-STYLE-GUI-FA93D,"Grammar, style guides, attention to detail",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-GRAMMAR-TEXTUAL-A-3F503,"Grammar, textual analysis, patience",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-GRAMMAR-WRITING-C-D3C1B,"Grammar, writing, communication",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-HISTORY-B576C,History,,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-IMAGINATION-DISCI-52C20,"Imagination, discipline, editing",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-INTERVIEWING-ETHI-FEBC0,"Interviewing, ethics, archiving",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-JUDGEMENT-LANGUAG-B0240,"Judgement, language quality, policy awareness",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-JUDGEMENT-LANGUAG-D0C77,"Judgement, language, resilience",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-LANGUAGE-ATTENTIO-570F4,"Language, attention to detail",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-LANGUAGE-CERTIFIC-395CB,Language Certification,,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-LANGUAGE-CULTURAL-56B84,"Language, cultural understanding",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-LANGUAGE-FLUENCY-38E14,"Language fluency, culture, translation",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-LANGUAGE-MASTERY-21D5A,"Language mastery, culture, writing",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-LANGUAGE-PRECISIO-59F50,"Language precision, cultural fit",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-LANGUAGE-PRECISIO-EB553,"Language precision, analysis, AI tool literacy, evaluation",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-LANGUAGE-REASONIN-73244,"Language, reasoning, ethics",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-LEADERSHIP-EDITOR-B7E8D,"Leadership, editorial judgement, project management",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-LISTENING-ETHICS-C5A19,"Listening, ethics, interviewing",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-LISTENING-SCRIPT-F4145,"Listening, script adaptation, pacing",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-MARKET-UNDERSTAND-4F732,"Market understanding, literary judgement, negotiation",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-MOTIVATION-COUNSE-83A65,"Motivation, counselling, performance basics",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-OBSERVATION-PHOTO-C164C,"Observation, photography, cataloguing",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-ORAL-STORYTELLING-93643,"Oral storytelling, performance, voice, cultural knowledge",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-PATIENCE-INCLUSIO-55EBB,"Patience, inclusion, documentation",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-PEDAGOGY-SUBJECT-5FC8D,"Pedagogy, subject mastery",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-PEDAGOGY-TECHNIQU-AA9C9,"Pedagogy, technique, patience",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-PEDAGOGY-WRITING-97473,"Pedagogy, writing, assessment design",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-PHILOSOPHY-B9D5A,Philosophy,,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-PLANNING-AUTHOR-C-4FD72,"Planning, author coordination, market research",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-POLICY-WRITING-DA-40760,"Policy writing, data basics, fieldwork",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-POLITICAL-SCIENCE-F9E65,Political Science,,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-PROMPTING-EDITING-E5191,"Prompting, editing, workflow design",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-PSYCHOLOGY-E7233,Psychology,,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-PSYCHOLOGY-EXPOSU-33E41,Psychology Exposure,,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-PSYCHOMETRICS-COM-E87CF,"Psychometrics, communication, research",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-PUBLISHING-WORKFL-67C4C,"Publishing workflow, author guidance, platform knowledge",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-READING-DEPTH-THE-CBB60,"Reading depth, theory, writing",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-READING-EVALUATIO-AAA50,"Reading, evaluation, concise writing",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-READING-TASTE-NEG-87750,"Reading taste, negotiation",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-READING-TREND-ANA-2D05A,"Reading, trend analysis, language awareness",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-REGIONAL-LANGUAGE-76A61,"Regional language mastery, cultural understanding, editing",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-REPORTING-FIELD-C-B9670,"Reporting, field coordination, evaluation",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-RESEARCH-ACADEMIC-EC2F6,"Research, academic writing, teaching",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-RESEARCH-CHRONOLO-5305E,"Research, chronology, writing",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-RESEARCH-CONCISE-43AFD,"Research, concise writing, audience building",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-RESEARCH-CURATION-58AB5,"Research, curation, communication",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-RESEARCH-DATA-INT-C93CE,"Research, data interpretation, writing",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-RESEARCH-DESIGN-D-113AF,"Research design, data, psychology theory",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-RESEARCH-FIELD-EN-8545D,"Research, field engagement, reporting",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-RESEARCH-METHODS-D3253,Research Methods,,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-RESEARCH-PORTFOLI-95945,Research Portfolio,,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-RESEARCH-SELECTIO-1C4A9,"Research, selection, categorisation, audience sense",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-RESEARCH-SOURCE-E-4EF24,"Research, source evaluation",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-RESEARCH-STANDARD-A523A,"Research standards, peer-review coordination",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-RESEARCH-STORYTEL-E2539,"Research, storytelling, digital communication",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-RESEARCH-SYNTHESI-00DD6,"Research synthesis, simplification, citation awareness",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-RESEARCH-TAXONOMY-96E50,"Research, taxonomy, summarization",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-RESEARCH-VERIFICA-06892,"Research, verification, coordination",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-RESEARCH-WRITING-9D949,"Research, writing, audience understanding, argumentation",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-RIYAZ-PRACTICE-RH-DEC01,"Riyaz/practice, rhythm, stage presence, listening, discipline",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-RIYAZ-THEORY-STAG-693BA,"Riyaz, theory, stage presence",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-SCRIPT-KNOWLEDGE-3305A,"Script knowledge, visual analysis",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-SEO-CATEGORISATIO-D6B51,"SEO, categorisation, keywords, publishing platforms",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-SIMPLIFICATION-PE-0681F,"Simplification, pedagogy, accuracy",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-SOCIOLOGY-6DE4B,Sociology,,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-SPATIAL-THINKING-01AA3,"Spatial thinking, maps, writing",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-STATE-GK-LANGUAGE-2ECB4,"State GK, language, administration",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-STATISTICS-TEST-T-F29D0,"Statistics, test theory, ethics",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-STORY-STRUCTURE-D-23399,"Story structure, dialogue",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-STORYTELLING-HERI-3E5DD,"Storytelling, heritage interpretation, language skills, public speaking",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-STORYTELLING-LOCA-E56DA,"Storytelling, local history, languages",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-STORYTELLING-SOUN-56DC0,"Storytelling, sound editing",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-SUBJECT-CLARITY-S-C934F,"Subject clarity, student-friendly writing",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-TECHNIQUE-DISCIPL-AF08B,"Technique, discipline, rhythm",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-TEXTUAL-ANALYSIS-25EE2,"Textual analysis, neutrality, languages",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-THEORY-CLOSE-READ-52948,"Theory, close reading, argumentation",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-THEORY-FIELDWORK-7E91F,"Theory, fieldwork, academic writing",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-THEORY-WRITING-GO-86E06,"Theory, writing, governance understanding",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-TIMING-ADAPTATION-C2C99,"Timing, adaptation, cultural sensitivity",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-TRANSLATION-LOCAL-67AA8,"Translation, localisation, data quality",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-VISUAL-IMAGINATIO-F3420,"Visual imagination, technique, portfolio, design sense",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-VOICE-PRESENCE-RE-50093,"Voice, presence, research",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-WORKFLOW-PLATFORM-9F8F9,"Workflow, platform tools, communication",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-WRITING-ECOLOGY-A-F211D,"Writing, ecology awareness, social analysis",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-WRITING-MEDIA-REL-A27E6,"Writing, media relations, strategy",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-WRITING-PORTFOLIO-8CDA8,Writing Portfolio,,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-WRITING-TRENDS-AN-5C878,"Writing, trends, analytics basics",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-WRITING-VERIFICAT-7CD79,"Writing, verification, interviewing",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-INTD-ACADEMIC-COUNSEL-AC427,"Academic counselling, outreach, scholarship systems, mentoring",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-ACCESSIBILITY-DI-3D01E,"Accessibility, disability law, rehabilitation planning, assistive tech awareness",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-AGRI-MARKETS-ANA-4D666,"Agri markets, analytics, supply chain, rural fieldwork",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-AGRI-MARKETS-ANA-D7926,"Agri markets, analytics, supply chain",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-AI-RISK-POLICY-W-53F93,"AI risk, policy writing, model governance",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-AML-SMART-CONTRA-D3FDE,"AML, smart contracts, compliance",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-AUDIO-VIDEO-PROD-76668,"Audio-video production, local language communication, participatory media",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-BASIC-SPREADSHEE-FBE92,"Basic spreadsheet, writing, presentation",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-BIOLOGY-PYTHON-R-3E593,"Biology, Python/R, statistics, genomics databases",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-BUSINESS-MODEL-D-B1A2A,"Business model design, local market linkage, branding, procurement",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-CAMPAIGN-DESIGN-F4D64,"Campaign design, field communication",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-CERTIFIED-LEARNI-31D6A,"Certified learning, internships, research methods",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-CLIMATE-RISK-GIS-A8835,"Climate risk, GIS, planning",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-CODING-SPATIAL-R-B145A,"Coding, spatial reasoning, modelling",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-COGNITION-HCI-AI-D74D2,"Cognition, HCI, AI literacy",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-COGNITION-USABIL-206DE,"Cognition, usability, safety, prototyping",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-COLD-CHAIN-SAFET-8FE0A,"Cold chain, safety, procurement",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-CONSENT-PROTOCOL-1FF37,"Consent protocols, documentation, biodiversity ethics, data archiving",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-CONSUMER-RESEARC-34327,"Consumer research, analytics, experimental methods",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-CONSUMER-RESEARC-BD861,"Consumer research, analytics",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-CONTENT-STRATEGY-4E0E2,"Content strategy, analytics, monetization",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-COUNSELLING-BASI-1EDE2,"Counselling basics, casework, referral systems, trauma-informed practice",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-CRAFT-DOCUMENTAT-E736E,"Craft documentation, product design, e-commerce, branding, cluster work",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-CRITICAL-THINKIN-49186,"Critical thinking, basic coding, statistics awareness",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-CURATION-CONSERV-9DEDC,"Curation, conservation basics, exhibition design, community interpretation",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-CURATION-STORYTE-9F21B,"Curation, storytelling, event management, archives",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-CYBER-LAW-DATA-P-C99E7,"Cyber law, data protection, writing, digital literacy",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-CYBER-LAW-EVIDEN-9D759,"Cyber law, evidence, digital forensics basics",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-DASHBOARDS-INDIC-58A4D,"Dashboards, indicators, evaluation",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-DATA-CLEANING-CH-F889C,"Data cleaning, charts, writing",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-DATA-CLEANING-VI-3F495,"Data cleaning, visualization, investigative writing",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-DATA-RECORDING-L-A33FA,"Data recording, lab discipline, bioinformatics awareness",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-DIGITAL-LITERACY-ABFC5,"Digital literacy, vernacular content, training, ICT tools, field implementation",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-DPDP-ACT-KNOWLED-9C79B,"DPDP Act knowledge, audit, contracts, risk",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-ENVIRONMENTAL-LA-91552,"Environmental law, social impact assessment, advocacy, field research",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
SKL-INTD-EPIDEMIOLOGY-BAS-7D130,"Epidemiology basics, community survey, health communication, nutrition, field ethics",,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
