career_outcome_code,universe_code,name,governance_status,version,source_document
CAR-LAW-ADJ-LEGAJOUR-01,UNI-LAW,Legal Journalist,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-ADJ-COURREPOLEGATRAN-01,UNI-LAW,Court Reporter / Legal Transcription Specialist,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-ADJ-PARA-01,UNI-LAW,Paralegal,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-ADJ-EDUCLAWSPEC-01,UNI-LAW,Education Law Specialist,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-ADJ-LEGARECRTALESPEC-01,UNI-LAW,Legal Recruiter / Talent Specialist for Law Firms,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-ADJ-COURTRIBADMI-01,UNI-LAW,Court / Tribunal Administrator,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-ADJ-NOTA-01,UNI-LAW,Notary,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-ADJ-OATHCOMMCOMMFOR-01,UNI-LAW,Oath Commissioner / Commissioner for Affidavits,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-ADJ-ALTELEGASERVPROV-01,UNI-LAW,Alternative Legal Services Provider Manager,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-ADJ-LEGAARCHCOURRECO-01,UNI-LAW,Legal Archivist / Court Records & Law Library Specialist,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-ENT-LEGARISKCONS-01,UNI-LAW,Legal Risk Consultant,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
