domain_code,universe_code,name,description,governance_status,version,source_workbook
DOM-INTD-AGRI-TECHNOLOGY-4E700,UNI-INTERDISCIPLINARY,Agri + Technology,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-AGRICULTURE-SUST-D4F98,UNI-INTERDISCIPLINARY,Agriculture + Sustainability +,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-AI-GOVERNANCE-AA5A6,UNI-INTERDISCIPLINARY,AI Governance,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-BEHAVIOUR-POLICY-5074A,UNI-INTERDISCIPLINARY,Behaviour + Policy/Business,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-CLIMATE-FINANCE-B143E,UNI-INTERDISCIPLINARY,Climate + Finance,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-COMMERCE-ANALYTI-2D765,UNI-INTERDISCIPLINARY,Commerce + Analytics + Tech,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-COMMERCE-ANALYTI-7F730,UNI-INTERDISCIPLINARY,Commerce + Analytics + FinTech,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-COMMUNICATION-DE-E2111,UNI-INTERDISCIPLINARY,Communication + Development,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-COMMUNITY-TRIBAL-53926,UNI-INTERDISCIPLINARY,Community Tribal Inclusive,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-CULTURE-EXPERIEN-E64C5,UNI-INTERDISCIPLINARY,Culture + Experience,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-DESIGN-BUSINESS-87851,UNI-INTERDISCIPLINARY,Design + Business + Technology,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-DESIGN-HUMAN-BEH-99F22,UNI-INTERDISCIPLINARY,Design + Human Behaviour,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-EDTECH-LEARNING-662A6,UNI-INTERDISCIPLINARY,EdTech + Learning,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-EDUCATION-ANALYT-7DA9D,UNI-INTERDISCIPLINARY,Education + Analytics,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-EMERGING-FRONTIE-E49FE,UNI-INTERDISCIPLINARY,Emerging Frontier Careers,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-ENVIRONMENT-GOVE-503AE,UNI-INTERDISCIPLINARY,Environment + Governance,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-FASHION-BUSINESS-6862A,UNI-INTERDISCIPLINARY,Fashion + Business,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-FINANCE-ANALYTIC-B718F,UNI-INTERDISCIPLINARY,Finance + Analytics,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-FOOD-ENTERPRISE-2471B,UNI-INTERDISCIPLINARY,Food + Enterprise,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-GEOSPATIAL-DATA-B5F14,UNI-INTERDISCIPLINARY,Geospatial + Data,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-HEALTHCARE-ANALY-14C0C,UNI-INTERDISCIPLINARY,Healthcare + Analytics,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-HEALTHCARE-PRODU-9EE1F,UNI-INTERDISCIPLINARY,Healthcare + Product,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-HUMAN-FACTORS-C62B4,UNI-INTERDISCIPLINARY,Human Factors,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-HUMANITIES-TECHN-8E12A,UNI-INTERDISCIPLINARY,Humanities + Technology,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-INTERDISCIPLINAR-8FD42,UNI-INTERDISCIPLINARY,Interdisciplinary Livelihood,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-LANGUAGE-AI-BE738,UNI-INTERDISCIPLINARY,Language + AI,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-LAW-ANALYTICS-3E609,UNI-INTERDISCIPLINARY,Law + Analytics,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-LAW-DESIGN-663F0,UNI-INTERDISCIPLINARY,Law + Design,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-LAW-TECH-C84AB,UNI-INTERDISCIPLINARY,Law + Tech,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-LAW-TECHNOLOGY-G-C7210,UNI-INTERDISCIPLINARY,Law + Technology + Governance,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-LIFE-SCIENCES-DA-36B7A,UNI-INTERDISCIPLINARY,Life Sciences + Data,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-MEDIA-BUSINESS-A8960,UNI-INTERDISCIPLINARY,Media + Business,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-MEDIA-COMMUNICAT-2CA67,UNI-INTERDISCIPLINARY,Media + Communication + AI,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-MEDIA-DATA-C501B,UNI-INTERDISCIPLINARY,Media + Data,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-PHARMA-BUSINESS-FF814,UNI-INTERDISCIPLINARY,Pharma + Business,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-PSYCHOLOGY-BUSIN-12722,UNI-INTERDISCIPLINARY,Psychology + Business,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-PSYCHOLOGY-BUSIN-B8F2C,UNI-INTERDISCIPLINARY,Psychology + Business + AI,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-PUBLIC-POLICY-C51D1,UNI-INTERDISCIPLINARY,Public Policy,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-PUBLIC-POLICY-EC-CCDB1,UNI-INTERDISCIPLINARY,Public Policy + Economics,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-RURAL-INNOVATION-762BF,UNI-INTERDISCIPLINARY,Rural + Innovation,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-SCIENCE-COMMUNIC-73E7A,UNI-INTERDISCIPLINARY,Science + Communication,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-SOCIAL-SCIENCE-D-53A04,UNI-INTERDISCIPLINARY,Social Science + Data,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-SOCIAL-SECTOR-AN-51438,UNI-INTERDISCIPLINARY,Social Sector + Analytics,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-SPACE-POLICY-27B46,UNI-INTERDISCIPLINARY,Space + Policy,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-SPECIALIZED-RARE-07D0A,UNI-INTERDISCIPLINARY,Specialized Rare Domains,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-SPORTS-ANALYTICS-A31F2,UNI-INTERDISCIPLINARY,Sports + Analytics,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-SUSTAINABILITY-E-5D9C9,UNI-INTERDISCIPLINARY,Sustainability + Enterprise,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-SUSTAINABILITY-M-27061,UNI-INTERDISCIPLINARY,Sustainability Management,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-INTD-URBAN-GOVERNANCE-5055C,UNI-INTERDISCIPLINARY,Urban + Governance,,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DOM-LAW-ADJACENT-LEGAL-PR-2FAC5,UNI-LAW,Adjacent Legal Profession,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-ADR-LEGAL-TECH-F7FAE,UNI-LAW,ADR & Legal Tech,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-ADVISORY-RISK-DEA87,UNI-LAW,Advisory & Risk,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-CIVIL-REGULATORY-212AA,UNI-LAW,Civil & Regulatory,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-COMPLIANCE-GOVERN-C4820,UNI-LAW,Compliance & Governance,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-CORE-LEGAL-PRACTI-A73A3,UNI-LAW,Core Legal Practice,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-CORPORATE-ECONOMI-DCC32,UNI-LAW,Corporate & Economic Regulation,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-CORPORATE-FINANCE-1A26B,UNI-LAW,Corporate & Finance,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-CORPORATE-GOVERNA-011BC,UNI-LAW,Corporate Governance,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-CORPORATE-GOVERNA-3544C,UNI-LAW,Corporate Governance & Social Impact,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-CORPORATE-INSTITU-CFBDC,UNI-LAW,Corporate & Institutional,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-CORPORATE-PUBLIC-A1367,UNI-LAW,Corporate & Public Contracts,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-CORPORATE-SOCIAL-67E66,UNI-LAW,Corporate & Social Law,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-CREATIVE-ECONOMY-7656F,UNI-LAW,Creative Economy Law,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-CRIMINAL-CORPORAT-EFE1F,UNI-LAW,Criminal & Corporate Enforcement,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-CRIMINAL-JUSTICE-16F98,UNI-LAW,Criminal Justice & Government,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-CRIMINAL-JUSTICE-F8242,UNI-LAW,Criminal Justice & Policy,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-CRIMINAL-JUSTICE-FB220,UNI-LAW,Criminal Justice & Forensics,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-DISPUTE-RESOLUTIO-75BD6,UNI-LAW,Dispute Resolution,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-ENTREPRENEURSHIP-3D28F,UNI-LAW,Entrepreneurship,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-FINANCE-LEGAL-SER-B2B09,UNI-LAW,Finance & Legal Services,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-FINANCIAL-CRIME-C-74719,UNI-LAW,Financial Crime Compliance,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-FLEXIBLE-LEGAL-LI-68ADA,UNI-LAW,Flexible Legal Livelihoods,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-FUTURISTIC-SECTOR-E912C,UNI-LAW,Futuristic Sectoral Law,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-GOVERNANCE-ETHICS-4F04E,UNI-LAW,Governance & Ethics,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-GOVERNMENT-DEFENC-0FAAD,UNI-LAW,Government & Defence Law,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-GOVERNMENT-POLICY-43AB4,UNI-LAW,Government & Policy,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-INSOLVENCY-RESTRU-27814,UNI-LAW,Insolvency & Restructuring,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-INTERNATIONAL-LAW-0B788,UNI-LAW,International Law,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-INTERNATIONAL-PEO-6AFD9,UNI-LAW,International & People Mobility,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-INTERNATIONAL-TRA-24631,UNI-LAW,International & Trade Law,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-INTERNATIONAL-TRA-50DAA,UNI-LAW,International & Transport Law,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-IP-INNOVATION-FBCAA,UNI-LAW,IP & Innovation,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-JUDICIARY-PUBLIC-62450,UNI-LAW,Judiciary & Public Law,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-KNOWLEDGE-PUBLIC-BDC0F,UNI-LAW,Knowledge & Public Records,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-AI-E2CE9,UNI-LAW,Law + AI,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-AI-ETHICS-ADE8C,UNI-LAW,Law + AI Ethics,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-AI-SYSTEMS-9ECD0,UNI-LAW,Law + AI Systems,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-ANALYTICS-18746,UNI-LAW,Law + Analytics,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-ART-7C899,UNI-LAW,Law + Art,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-AVIATION-365EB,UNI-LAW,Law + Aviation,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-BIOETHICS-4C8D6,UNI-LAW,Law + Bioethics,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-BLOCKCHAIN-B393E,UNI-LAW,Law + Blockchain,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-CHILD-PROTECT-CD8FA,UNI-LAW,Law + Child Protection,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-COUNSELLING-06417,UNI-LAW,Law + Counselling,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-CREATOR-ECONO-2F326,UNI-LAW,Law + Creator Economy,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-CYBER-9D536,UNI-LAW,Law + Cyber,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-DIGITAL-ECONO-7350B,UNI-LAW,Law + Digital Economy,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-DIGITAL-IDENT-D6F36,UNI-LAW,Law + Digital Identity,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-DIGITAL-IP-C8141,UNI-LAW,Law + Digital IP,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-DIGITAL-MEDIA-C0EB3,UNI-LAW,Law + Digital Media,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-EDTECH-47B26,UNI-LAW,Law + EdTech,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-EDUCATION-2C526,UNI-LAW,Law + Education,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-ELECTIONS-9216C,UNI-LAW,Law + Elections,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-ENVIRONMENT-A5A57,UNI-LAW,Law + Environment,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-GENERATIVE-AI-CE4FB,UNI-LAW,Law + Generative AI,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-GERONTOLOGY-E0229,UNI-LAW,Law + Gerontology,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-HEALTHCARE-40205,UNI-LAW,Law + Healthcare,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-HERITAGE-CDB24,UNI-LAW,Law + Heritage,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-LANGUAGE-A97C4,UNI-LAW,Law + Language,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-LOCAL-GOVERNA-9E0FC,UNI-LAW,Law + Local Governance,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-MEDIA-EC049,UNI-LAW,Law + Media,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-MOBILITY-TECH-A864D,UNI-LAW,Law + Mobility Tech,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-POLICY-AB660,UNI-LAW,Law + Policy,,Validated,0.6.1a,5-Structured- Law.xlsx
DOM-LAW-LAW-PUBLIC-POLICY-F889C,UNI-LAW,Law + Public Policy,,Validated,0.6.1a,5-Structured- Law.xlsx
