career_outcome_code,universe_code,name,description,governance_status,version,source_workbook
CAR-COM-INDUSTRY-OPERATIO-DCF99,UNI-COMMERCE,Industry Operations,,Validated,0.6.1a,3-Structured - Commerce.xlsx
CAR-COM-SPECIALIZED-ACCOU-9FEDB,UNI-COMMERCE,Specialized Accounting,,Validated,0.6.1a,3-Structured - Commerce.xlsx
CAR-COM-STOCK-MARKET-ADVA-26A90,UNI-COMMERCE,Stock Market Advanced,,Validated,0.6.1a,3-Structured - Commerce.xlsx
CAR-COM-WEALTH-MANAGER-1932D,UNI-COMMERCE,Wealth Manager,,Validated,0.6.1a,3-Structured - Commerce.xlsx
CAR-HUM-ACADEMIC-EDITOR-8FE3E,UNI-HUMANITIES,Academic Editor,"Improve research papers, theses and academic manuscripts",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-ACQUISITION-EDITO-E5900,UNI-HUMANITIES,Acquisition Editor,"Identify manuscripts, authors and publishing opportunities",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-ADVERTISING-COPYW-AB760,UNI-HUMANITIES,Advertising Copywriter,"Write slogans, campaigns and brand narratives",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-AI-ASSISTED-EDITO-A6525,UNI-HUMANITIES,AI-Assisted Editor,Use AI tools while applying human editorial judgement and quality control,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-AI-DATASET-LANGUA-64E98,UNI-HUMANITIES,AI Dataset Language Annotator,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-AI-ETHICS-RESEARC-B2E92,UNI-HUMANITIES,AI Ethics Researcher,"Policy, AI Governance",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-AI-TRAINING-CONTE-0533F,UNI-HUMANITIES,AI Training Content Reviewer,"Review training data and AI outputs for accuracy, tone, bias and usefulness",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-ANTHOLOGY-CURATOR-818CA,UNI-HUMANITIES,Anthology Curator,"Select and organise writings around themes, regions or communities",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-ARCHAEOLOGIST-61BB2,UNI-HUMANITIES,Archaeologist,Excavation and study of material remains,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-ARCHIVE-EDITOR-EB0FD,UNI-HUMANITIES,Archive Editor,"Edit historical, archival or manuscript material for publication",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-ARCHIVIST-7B3C2,UNI-HUMANITIES,Archivist,"Preserve records, manuscripts and documents",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-ART-GALLERY-COORD-D5C46,UNI-HUMANITIES,Art Gallery Coordinator,"Coordinate exhibitions, artists and gallery operations",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-ART-TEACHER-VISUA-751D0,UNI-HUMANITIES,Art Teacher / Visual Arts Educator,"Teach drawing, painting and art appreciation",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-ART-THERAPIST-ASS-95302,UNI-HUMANITIES,Art Therapist Assistant / Expressive Arts Facilitator,Use art activities in wellbeing/education under proper scope,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-AUDIOBOOK-SCRIPT-ABA83,UNI-HUMANITIES,Audiobook Script Editor,"Edit manuscripts for audio narration, pacing and listener clarity",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-BEHAVIOURAL-SCIEN-BE382,UNI-HUMANITIES,Behavioural Science Researcher,"Study decision-making for policy, health or education",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-BIOETHICS-MEDICAL-20FED,UNI-HUMANITIES,Bioethics / Medical Humanities Associate,"Study ethical issues in health, medicine and society",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-BLOG-WRITER-E519C,UNI-HUMANITIES,Blog Writer,"Independent Writing, Media",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-BOOK-EDITOR-AAD54,UNI-HUMANITIES,Book Editor,Edit manuscripts for clarity and style,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-BOOK-METADATA-SPE-F0513,UNI-HUMANITIES,Book Metadata Specialist,"Create keywords, categories and descriptions that improve book discoverability",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-BOOK-REVIEWER-8F54D,UNI-HUMANITIES,Book Reviewer,"Review books for media, publishers, blogs and digital platforms",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-BROADCAST-JOURNAL-88D68,UNI-HUMANITIES,Broadcast Journalist / News Anchor,Present and report news for TV/digital video,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-CAREER-COUNSELLOR-9BED9,UNI-HUMANITIES,Career Counsellor - Humanities Route,Guide students on education and career pathways,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-CHILDREN-S-LITERA-C5E5A,UNI-HUMANITIES,Children’s Literature Specialist,"Create, edit or evaluate children’s books and learning material",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-CIVIL-SERVICES-IA-4F46C,UNI-HUMANITIES,Civil Services - IAS/IPS/IFS/IRS via UPSC CSE,"Policy implementation, administration and public service",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-CLASSICAL-MUSIC-P-F4940,UNI-HUMANITIES,Classical Music Performer,"Perform, teach and research classical music",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-CLINICAL-PSYCHOLO-69C83,UNI-HUMANITIES,Clinical Psychologist,"Assessment, diagnosis support and therapy under proper qualification",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-COLLEGE-PROFESSOR-E76DF,UNI-HUMANITIES,College Professor - Humanities,Teach and research at college/university level,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-COMMISSIONING-EDI-D8627,UNI-HUMANITIES,Commissioning Editor,Plan book lists and commission authors for specific markets,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-COMMUNITY-MANAGER-597D7,UNI-HUMANITIES,Community Manager,"Brands, Online Communities",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-CONSERVATION-DOCU-E3E61,UNI-HUMANITIES,Conservation Documentation Assistant,Document objects/buildings for conservation teams,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-CONTENT-CURATOR-E34F9,UNI-HUMANITIES,Content Curator,"Select, organise and present knowledge/content for audiences",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-CONTENT-MODERATOR-F65E1,UNI-HUMANITIES,Content Moderator - Language & Culture,Review user content for policy and cultural context,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-CONVERSATIONAL-AI-15989,UNI-HUMANITIES,Conversational AI Trainer,AI Industry,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-COPY-EDITOR-107AE,UNI-HUMANITIES,Copy Editor,"Correct grammar, style, consistency and factual presentation",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-COUNSELLING-PSYCH-4CCBB,UNI-HUMANITIES,Counselling Psychologist,"Counselling for education, career, family and emotional concerns",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-CREATIVE-WRITER-A-FC761,UNI-HUMANITIES,Creative Writer / Author,"Write fiction, poetry, essays and nonfiction",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-CSR-SOCIAL-IMPACT-2A279,UNI-HUMANITIES,CSR Social Impact Associate,Support CSR projects and impact reporting,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-CULTURAL-AI-CONSU-D0D38,UNI-HUMANITIES,Cultural AI Consultant,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-CULTURAL-DOCUMENT-A72E9,UNI-HUMANITIES,Cultural Documentation Publisher,"Document and publish folk stories, oral histories, crafts and local culture",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-CULTURAL-ENTREPRE-40603,UNI-HUMANITIES,Cultural Entrepreneur,"Build ventures around culture, arts, heritage or learning",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-CULTURAL-PROGRAMM-E1870,UNI-HUMANITIES,Cultural Programme Coordinator,Plan cultural events and public programmes,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-CURRICULUM-DEVELO-B86E5,UNI-HUMANITIES,Curriculum Developer - Humanities,"Design syllabi, lessons and learning resources",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-DANCE-PERFORMER-C-BCB11,UNI-HUMANITIES,Dance Performer / Choreographer,Perform and choreograph dance,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-DEVELOPMENT-SECTO-C20C8,UNI-HUMANITIES,Development Sector Professional,Implement and monitor development projects,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-DIGITAL-ARCHIVE-S-710AF,UNI-HUMANITIES,Digital Archive Specialist,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-DIGITAL-HUMANITIE-6B782,UNI-HUMANITIES,Digital Humanities Researcher,"Academia, Archives",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-DIGITAL-MAGAZINE-5E9CE,UNI-HUMANITIES,Digital Magazine Creator,"Create niche online magazines for culture, literature, education or society",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-DISASTER-MANAGEME-89B79,UNI-HUMANITIES,Disaster Management Professional - Social Side,Community preparedness and relief coordination,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-DOCUMENTARY-RESEA-33884,UNI-HUMANITIES,Documentary Researcher,"Research topics, archives and field stories",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-EBOOK-FORMATTER-7276A,UNI-HUMANITIES,Ebook Formatter,"Prepare manuscripts for EPUB, Kindle and digital reading formats",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-EDITORIAL-ASSISTA-DF50D,UNI-HUMANITIES,Editorial Assistant,"Support editors with reading, correspondence, proofreading and production tasks",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-EDITORIAL-PROMPT-BEFA5,UNI-HUMANITIES,Editorial Prompt Specialist,"Design prompts and workflows for editorial tasks, summaries and content quality",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-EDUCATIONAL-CONTE-CACCC,UNI-HUMANITIES,Educational Content Writer - Arts Subjects,Prepare study material and question banks,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-EDUCATIONAL-NOTES-2EC14,UNI-HUMANITIES,Educational Notes Publisher,"Create notes, guides and exam-preparation material",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-ENGLISH-LANGUAGE-2CCF9,UNI-HUMANITIES,English Language Trainer,Teach English communication and language skills,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-ENGLISH-LITERATUR-3CDBE,UNI-HUMANITIES,English Literature Academic / Professor,"Reading, literary criticism, teaching and research",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-ENVIRONMENTAL-HUM-4329C,UNI-HUMANITIES,Environmental Humanities Researcher,"Study society, culture and environmental change",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-EPIGRAPHIST-NUMIS-B093F,UNI-HUMANITIES,Epigraphist / Numismatist,"Study inscriptions, coins and ancient scripts",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-EPIGRAPHY-ASSISTA-C0732,UNI-HUMANITIES,Epigraphy Assistant,"Archaeology, Research",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-ETHICS-AI-POLICY-3AA9F,UNI-HUMANITIES,Ethics & AI Policy Analyst,Analyze ethical risks in technology and governance,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-FACT-CHECKER-VERI-2F899,UNI-HUMANITIES,Fact-checker / Verification Specialist,"Verify claims, images and public information",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-FESTIVAL-CURATOR-20E01,UNI-HUMANITIES,Festival Curator,"Curate themes, artists, films and talks",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-FINE-ARTIST-A5B58,UNI-HUMANITIES,Fine Artist,Create artworks for exhibitions and commissions,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-FLUTE-ARTIST-ECAB1,UNI-HUMANITIES,Flute Artist,"Concerts, Teaching, Fusion Bands",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-FOLK-CULTURE-RESE-95DCB,UNI-HUMANITIES,Folk Culture Researcher,"Documentation, Cultural Preservation",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-FOREIGN-LANGUAGE-F731C,UNI-HUMANITIES,Foreign Language Expert,"Language teaching, translation and cultural communication",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-FORENSIC-PSYCHOLO-D1B41,UNI-HUMANITIES,Forensic Psychology Assistant / Researcher,Apply psychology to criminal behaviour and correctional research,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-GENDER-STUDIES-RE-E95C7,UNI-HUMANITIES,Gender Studies Researcher,Research and advocacy on gender and society,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-GEOGRAPHER-GEOGRA-57928,UNI-HUMANITIES,Geographer / Geography Professor,Teach/research physical and human geography,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-GHOST-WRITER-5F02D,UNI-HUMANITIES,Ghost Writer,"Publishing, Personal Branding",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-GIS-ANALYST-HUMAN-5533B,UNI-HUMANITIES,GIS Analyst - Humanities Route,Create and interpret spatial data,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-GUITARIST-795AF,UNI-HUMANITIES,Guitarist,"Performance, Studio Sessions, Teaching",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-HANDICRAFT-ENTREP-D4203,UNI-HUMANITIES,Handicraft Entrepreneur,"Own Brand, Craft Business",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-HERITAGE-WALK-CUL-46349,UNI-HUMANITIES,Heritage Walk / Cultural Tourism Professional,Design and conduct heritage tours,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-HINDI-LANGUAGE-LI-3B2BD,UNI-HUMANITIES,Hindi Language & Literature Career,"Hindi teaching, content, translation, publishing",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-HISTORIAN-HISTORY-2E808,UNI-HUMANITIES,Historian / History Professor,Teach and research historical periods and methods,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-HUMAN-CONTENT-REV-2463F,UNI-HUMANITIES,Human Content Reviewer,"Review AI-generated or user-generated content for quality, bias and appropriateness",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-HUMANITIES-COURSE-BD7E2,UNI-HUMANITIES,Humanities Course Publisher,"Create and publish Humanities course material, workbooks or online modules",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-IKS-RESEARCHER-065BB,UNI-HUMANITIES,IKS Researcher,"Research, Academia, Policy",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-ILLUSTRATOR-CULTU-CF691,UNI-HUMANITIES,Illustrator - Cultural/Educational Content,Create illustrations for books and education,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-INDEPENDENT-PUBLI-C0013,UNI-HUMANITIES,Independent Publisher,Start and run a small publishing imprint,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-INDEPENDENT-RESEA-809C9,UNI-HUMANITIES,Independent Researcher / Public Humanities Creator,Create public-facing humanities content,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-INTERNATIONAL-REL-71733,UNI-HUMANITIES,International Relations Specialist,"Study diplomacy, geopolitics and global institutions",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-INTERPRETER-D578C,UNI-HUMANITIES,Interpreter,"Diplomacy, Conferences",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-JAPANESE-KOREAN-L-EB0AA,UNI-HUMANITIES,Japanese/Korean Language + Culture Specialist,"Language and culture support for media, firms, tourism",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-JOURNAL-EDITOR-6F4E8,UNI-HUMANITIES,Journal Editor,"Manage scholarly journal submissions, peer review and publication workflow",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-JOURNALIST-PRINT-ACA27,UNI-HUMANITIES,Journalist - Print/Digital,"Report, verify and write news stories",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-KINDLE-PUBLISHER-2F0E8,UNI-HUMANITIES,Kindle Publisher,Publish ebooks independently through digital platforms,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-KIRTANKAR-F39BF,UNI-HUMANITIES,Kirtankar,"Religious Programmes, Social Awareness",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-KNOWLEDGE-CURATOR-8D4EB,UNI-HUMANITIES,Knowledge Curator,"Organise knowledge resources, reading pathways and topic databases",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-KNOWLEDGE-MANAGER-7DBAE,UNI-HUMANITIES,Knowledge Manager / Research Curator,Organize and curate knowledge resources,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-LIFE-SKILLS-TRAIN-4E6C6,UNI-HUMANITIES,Life Skills Trainer,"Schools, NGOs, Corporate",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-LINGUIST-LANGUAGE-177E7,UNI-HUMANITIES,Linguist / Language Scientist,"Study phonetics, syntax, semantics and language change",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-LITERARY-AGENT-PU-342EA,UNI-HUMANITIES,Literary Agent / Publishing Coordinator,"Coordinate manuscripts, rights and authors",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-LITERARY-CRITIC-EBE76,UNI-HUMANITIES,Literary Critic,"Interpret and evaluate literature, culture and texts",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-LITERARY-MAGAZINE-02B5C,UNI-HUMANITIES,Literary Magazine Founder,"Build literary magazine around poetry, criticism, translation or culture",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-LITERARY-SCOUT-E314B,UNI-HUMANITIES,Literary Scout,"Identify promising manuscripts, authors and market trends",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-LITERARY-TRANSLAT-C66B9,UNI-HUMANITIES,Literary Translator,"Book Translation, Publishing",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-LOCALIZATION-QUAL-96A6A,UNI-HUMANITIES,Localization Quality Analyst,Check translated content for linguistic/cultural accuracy,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-LOCALIZATION-SPEC-90FC8,UNI-HUMANITIES,Localization Specialist,"Apps, Websites, Gaming",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-LONG-FORM-ESSAYIS-D16B8,UNI-HUMANITIES,Long-form Essayist,"Publishing, Independent Platforms",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-MADHUBANI-ARTIST-2F6C0,UNI-HUMANITIES,Madhubani Artist,"Art Sales, Cultural Industry",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-MANAGING-EDITOR-13BE1,UNI-HUMANITIES,Managing Editor,"Oversee editorial schedules, quality and team coordination",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-MANUSCRIPT-EVALUA-905BE,UNI-HUMANITIES,Manuscript Evaluator,"Assess manuscript quality, marketability and revision needs",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-MANUSCRIPTOLOGIST-75964,UNI-HUMANITIES,Manuscriptologist,"Archival Work, Research",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-MARATHI-REGIONAL-3DC77,UNI-HUMANITIES,Marathi / Regional Language Scholar,"Language teaching, literary research, cultural documentation",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-MULTILINGUAL-DATA-E6FBF,UNI-HUMANITIES,Multilingual Dataset Editor,Edit and validate multilingual text datasets for AI and publishing platforms,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-MUSEUM-CURATOR-E7B8D,UNI-HUMANITIES,Museum Curator,Manage collections and design exhibitions,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-MUSEUM-EDUCATOR-92C20,UNI-HUMANITIES,Museum Educator,"Museum Programmes, Education",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-NARRATIVE-UX-WRIT-F7028,UNI-HUMANITIES,Narrative UX Writer,"Apps, Digital Platforms",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-NEWSLETTER-PUBLIS-EDCCE,UNI-HUMANITIES,Newsletter Publisher,Publish independent newsletters on specialised themes,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-OPINION-COLUMNIST-34529,UNI-HUMANITIES,Opinion Columnist,"Newspapers, Digital Media",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-ORAL-HISTORY-DOCU-A4571,UNI-HUMANITIES,Oral History Documenter,"Record memories, community histories and life narratives",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-ORAL-TRADITION-AR-74D04,UNI-HUMANITIES,Oral Tradition Archivist,"Archives, Cultural Institutions",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-ORGANIZATIONAL-PS-8D423,UNI-HUMANITIES,Organizational Psychologist,Use psychology for workplace behaviour and assessment,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-PHILOSOPHY-PROFES-6D46A,UNI-HUMANITIES,Philosophy Professor / Researcher,"Teach/research ethics, logic and philosophy",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-POD-PUBLISHING-CO-4CC04,UNI-HUMANITIES,POD Publishing Consultant,Help authors publish books using print-on-demand platforms,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-PODCAST-CREATOR-A2726,UNI-HUMANITIES,Podcast Creator,"Independent Media, Sponsorships",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-PODCAST-PRODUCER-54220,UNI-HUMANITIES,Podcast Producer / Audio Storyteller,"Plan, script, record and edit audio shows",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-PODCAST-STORYTELL-09871,UNI-HUMANITIES,Podcast Storyteller,"Podcasting, Media Platforms",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-POLITICAL-ANALYST-B725F,UNI-HUMANITIES,Political Analyst,"Analyze elections, public opinion and policy trends",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-POWADA-SHAHIRI-AR-14ADB,UNI-HUMANITIES,Powada/Shahiri Artist,"Stage Performance, Cultural Events",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-PROMPT-DESIGNER-5A3AD,UNI-HUMANITIES,Prompt Designer,"AI Companies, Freelance",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-PROMPT-WRITER-AI-A77BA,UNI-HUMANITIES,Prompt Writer / AI Content Evaluator - Humanities,"Evaluate AI outputs, write prompts and improve quality",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-PROOFREADER-2F3F1,UNI-HUMANITIES,Proofreader,"Final checking of books, journals and digital text before publication",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-PSYCHOMETRIC-TEST-0EF56,UNI-HUMANITIES,Psychometric Test Developer,"Design, validate and interpret psychological tests",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-PUBLIC-ADMINISTRA-E4C3D,UNI-HUMANITIES,Public Administration Academic / Researcher,Teach/research administrative theory,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
CAR-HUM-PUBLIC-ENGAGEMENT-7ED09,UNI-HUMANITIES,Public Engagement Specialist,"Government, NGOs, Museums",Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
